,title,url,content,content_summary,thumbnail,publish_date
0,"The Perception of Beauty Varies, but Memorability Knows No Bounds",https://ainewstoday.co.uk/2023/07/25/the-perception-of-beauty-varies-but-memorability-knows-no-bounds/,"Imagine spending a weekend afternoon with friends at an art museum, desperately searching for something insightful to say about the vast majority of paintings that are immediately forgotten. But then, there are a few paintings that stick in your mind, and as it turns out, those are the same ones everyone else remembers. This phenomenon has a scientific term: image memorability.
According to Camilo Fosco, a PhD student studying computer science at MIT and the CTO of Memorable AI, a startup that uses machine learning to test content engagement, image memorability is based on intrinsic patterns that make certain content more memorable than others.
A team of scientists from the University of Chicago, in a study published in the Proceedings of the National Academy of Sciences, have shown that artwork memorability is not only consistent across people but also predictable by AI. In an online experiment, the researchers pulled 4,000 paintings from the Art Institute of Chicago’s database, excluding anything labeled as “boosted” or especially famous. These paintings were then shown to approximately 3,200 people, with each painting viewed by around 40 individuals. The participants were later shown the paintings they had seen mixed with ones they hadn’t, and were asked to indicate whether they remembered them or not. The results showed that people tend to remember or forget the same images.
The research team utilized a deep learning neural network called ResMem, developed by data scientist Coen Needell as part of his master’s thesis in Bainbridge’s psychology lab, to predict the memorability of each painting. ResMem mimics the human visual system by processing basic information like edges, textures, and patterns, before scaling up to more abstract information like object meaning. Interestingly, the AI’s memorability scores were highly correlated with those given by the participants in the online experiment, even though the AI had no knowledge of the cultural context, popularity, or significance of each artwork.
These findings challenge the conventional belief that our memory for art is predominantly influenced by personal experiences of beauty and meaning. Instead, the study suggests that artwork itself plays a significant role in memorability. This has important implications for artists, advertisers, educators, and anyone looking to create content that sticks in people’s minds. “You might think art is a very subjective thing,” says Wilma Bainbridge, one of the researchers involved in the study, “but people are surprisingly consistent in what they remember and forget.”
While the online experiment provided intriguing insights, the researchers sought to extend their study to real-world settings. They recruited 19 individuals to explore the American Art wing of the Art Institute of Chicago as though they were exploring with friends. The only requirement was for participants to see each piece at least once. This real-world experiment aimed to validate the findings in a natural and enjoyable museum experience, which could provide further insights into predicting memory in everyday settings.","The results showed that people tend to remember or forget the same images. They recruited 19 individuals to explore the American Art wing of the Art Institute of Chicago as though they were exploring with friends. A team of scientists from the University of Chicago, in a study published in the Proceedings of the National Academy of Sciences, have shown that artwork memorability is not only consistent across people but also predictable by AI. “You might think art is a very subjective thing,” says Wilma Bainbridge, one of the researchers involved in the study, “but people are surprisingly consistent in what they remember and forget.”
While the online experiment provided intriguing insights, the researchers sought to extend their study to real-world settings. Interestingly, the AI’s memorability scores were highly correlated with those given by the participants in the online experiment, even though the AI had no knowledge of the cultural context, popularity, or significance of each artwork.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/An-AI-powered-study-reveals-the-science-behind-memorable-artwork-1024x536.png,2023-07-25
1,‘Bing Chat by Microsoft Being Tested for ‘Select Users’ on Chrome and Safari’,https://ainewstoday.co.uk/2023/07/25/bing-chat-by-microsoft-being-tested-for-select-users-on-chrome-and-safari/,"Microsoft has confirmed that its AI chatbot, Bing Chat, will now be available in non-Microsoft browsers, expanding its reach to a broader set of users. Previously, Bing Chat was only accessible within Microsoft products such as the Bing mobile app and Microsoft Edge browser. This move comes after reports of the AI chatbot being spotted in other browsers like Google Chrome and Apple’s Safari.
Microsoft’s director of communications, Caitlin Roulston, stated in an email that they are currently testing access to Bing Chat in Safari and Chrome with select users. She expressed excitement about expanding access to even more users once standard testing procedures are complete. This expansion had not yet been officially announced.
Users who gained access to Bing AI chatbot on Windows reported receiving a pop-up in the Windows 10 or 11 taskbar, providing the opportunity to try out Bing AI in Chrome. Alternatively, users can visit Bing.com from their preferred browser and click on the “Chat” icon to access the chatbot. However, during our own tests, we could only access Bing Chat in Chrome and not in Safari. This may be due to us not being among the select users currently granted access during the testing phase.
Image Credits: screenshot of Bing.com
While Bing Chat’s ChatGPT-like experience is powered by OpenAI’s GPT-4 model, some users have reported that testing the AI chatbot in browsers other than Microsoft Edge has certain limitations. For instance, WindowsLatest.com noted that in Chrome, Bing Chat only supports five messages per conversation, compared to the 30 available in Microsoft Edge. Additionally, the character count is limited to 2,000 in Chrome, whereas Edge supports up to 3,000 characters.
When asked for further information, Microsoft declined to confirm these details or shed light on any other differences between the various versions of Bing Chat. They also did not disclose when the expansion to other browsers began, which platforms are supported, or whether these tests would be conducted globally.
Bing Chat has been steadily integrating into various Microsoft products since its launch earlier this year. It became available in the Bing mobile app and Edge browser for iOS, Android, and desktop. Furthermore, it was integrated with Skype and recently announced its availability in enterprise settings, with a version that includes business-focused data privacy and governance controls. Microsoft also announced the rollout of Visual Search, which allows the chatbot to respond to questions about uploaded images.","Microsoft has confirmed that its AI chatbot, Bing Chat, will now be available in non-Microsoft browsers, expanding its reach to a broader set of users. Alternatively, users can visit Bing.com from their preferred browser and click on the “Chat” icon to access the chatbot. For instance, WindowsLatest.com noted that in Chrome, Bing Chat only supports five messages per conversation, compared to the 30 available in Microsoft Edge. Users who gained access to Bing AI chatbot on Windows reported receiving a pop-up in the Windows 10 or 11 taskbar, providing the opportunity to try out Bing AI in Chrome. Microsoft’s director of communications, Caitlin Roulston, stated in an email that they are currently testing access to Bing Chat in Safari and Chrome with select users.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/bing-chat.png,2023-07-25
2,An Insight into Our Strategy for Ensuring AI Safety,https://ainewstoday.co.uk/2023/07/25/an-insight-into-our-strategy-for-ensuring-ai-safety/,"OpenAI, the artificial intelligence (AI) research lab, has emphasized the importance of dedicating more time and resources to addressing AI safety concerns. The organization believes that a practical solution to these concerns lies in researching effective mitigation strategies and alignment techniques, and testing them against real-world abuse. This commitment underlines OpenAI’s awareness of the potential risks associated with the development and deployment of advanced AI systems.
OpenAI acknowledges that improving AI safety should go hand in hand with enhancing AI capabilities. According to the organization, their best safety work to date has been achieved by working with their most capable models. These models are not only better at following users’ instructions, but they are also easier to control and guide.
While OpenAI has already taken steps towards ensuring safety, such as delaying the deployment of GPT-4 (its latest language model) to thoroughly understand its capabilities, benefits, and risks, the organization emphasizes that even longer delays might be necessary in the future to enhance AI systems’ safety. This highlights the need for effective governance in AI development and deployment at a global scale to prevent any shortcuts that could compromise safety.
OpenAI believes that addressing AI safety issues requires extensive debate, experimentation, and engagement, particularly in defining the bounds of AI system behavior. To foster collaboration and open dialogue among stakeholders, the organization has actively engaged in creating a safe AI ecosystem.
This commitment to AI safety reflects the challenges posed by the rapid advancement of AI technology. OpenAI recognizes the need for technical and institutional innovation to confront these challenges head-on. Despite the daunting nature of the task, the organization is eager to contribute to the development of effective solutions for AI safety, with the aim of ensuring that AI systems are deployed responsibly and for the benefit of society as a whole.","This commitment underlines OpenAI’s awareness of the potential risks associated with the development and deployment of advanced AI systems. While OpenAI has already taken steps towards ensuring safety, such as delaying the deployment of GPT-4 (its latest language model) to thoroughly understand its capabilities, benefits, and risks, the organization emphasizes that even longer delays might be necessary in the future to enhance AI systems’ safety. This commitment to AI safety reflects the challenges posed by the rapid advancement of AI technology. OpenAI, the artificial intelligence (AI) research lab, has emphasized the importance of dedicating more time and resources to addressing AI safety concerns. Despite the daunting nature of the task, the organization is eager to contribute to the development of effective solutions for AI safety, with the aim of ensuring that AI systems are deployed responsibly and for the benefit of society as a whole.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/An-Insight-into-Our-Strategy-for-Ensuring-AI-Safety-1024x536.png,2023-07-25
3,The Potential of AI in Promoting Equality in Healthcare,https://ainewstoday.co.uk/2023/07/24/the-potential-of-ai-in-promoting-equality-in-healthcare/,"Marzyeh Ghassemi, an Assistant Professor at CSAIL, IMES, & EECS MIT, has gained recognition as an accomplished data scientist and researcher. She has made significant contributions at the intersection of machine learning and healthcare, earning her a reputation for groundbreaking work.
In her role at the Massachusetts Institute of Technology (MIT), Ghassemi has been a driving force behind advancements in utilizing machine learning techniques to improve healthcare outcomes. Her expertise lies in harnessing the power of data to develop innovative solutions for complex healthcare challenges.
Ghassemi’s research has focused on leveraging machine learning algorithms to predict disease progression and identify high-risk patients who could benefit from early intervention. By analyzing vast amounts of patient data, including electronic health records, medical images, and genetic information, she aims to provide personalized care and treatment plans.
One of Ghassemi’s notable achievements is her work in predicting and preventing adverse events in hospitals. She has developed models that can identify patients at risk of acute deterioration, allowing healthcare providers to intervene proactively and prevent dangerous outcomes.
In addition to her technical contributions, Ghassemi actively collaborates with medical professionals and policymakers to ensure her research has real-world impact. She advocates for the responsible use of machine learning in healthcare and strives to address ethical considerations and biases that may arise in data-driven approaches.
Ghassemi’s exceptional work has not gone unnoticed, as she has received prestigious awards and recognition throughout her career. Her contributions have the potential to revolutionize healthcare delivery and improve patient outcomes, making her a leading figure in the field of machine learning and healthcare.
With her continued dedication and visionary approach, Marzyeh Ghassemi is poised to drive further breakthroughs at the intersection of machine learning and healthcare, forging a new path for personalized medicine and improved healthcare experiences.","In her role at the Massachusetts Institute of Technology (MIT), Ghassemi has been a driving force behind advancements in utilizing machine learning techniques to improve healthcare outcomes. She advocates for the responsible use of machine learning in healthcare and strives to address ethical considerations and biases that may arise in data-driven approaches. She has made significant contributions at the intersection of machine learning and healthcare, earning her a reputation for groundbreaking work. With her continued dedication and visionary approach, Marzyeh Ghassemi is poised to drive further breakthroughs at the intersection of machine learning and healthcare, forging a new path for personalized medicine and improved healthcare experiences. Her contributions have the potential to revolutionize healthcare delivery and improve patient outcomes, making her a leading figure in the field of machine learning and healthcare.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/The-Potential-of-AI-in-Promoting-Equality-in-Healthcare-1024x536.png,2023-07-24
4,Why Hollywood Strikes Reveal Our Distrust in Corporations Handling of AI,https://ainewstoday.co.uk/2023/07/24/why-hollywood-strikes-reveal-our-distrust-in-corporations-handling-of-ai/,"History suggests that societies generally overestimate the short-term implications of new technologies while underestimating longer-term ones. Current experience with artificial intelligence – the technology enabled by machine-learning – suggests we are getting it the other way round this time. There’s too much talk about the putative “existential risk” to humanity posed by AI, and too little about our experience of it so far and corporate plans for exploiting the technology.
Although AI has been hiding in plain sight for a decade, it took most people by surprise. The appearance of ChatGPT last November signalled that the world had stumbled upon a powerful new technology. Not for nothing is this new “generative AI” called “foundational”: it provides the base on which the next wave of digital innovation will be built.
It is also transformational in innumerable ways: it undermines centuries-old conceptions of intellectual property, for example, and it has the potential radically to increase productivity, reshape industries, change the nature of some kinds of work and so on. On top of that, though, it also raises troubling questions about the uniqueness of humans and their capabilities.
The key question for democracies is: how can we ensure that AI is used for human flourishing rather than corporate gain?
The continuing dispute between the Hollywood studios and screenwriters’ and actors’ unions perfectly exemplifies the extent of the challenges posed by AI. Both groups are up in arms about the way online streaming has reduced their earnings. But the writers also fear their role will be reduced simply to rewriting AI-generated scripts; and actors are concerned that detailed digital scanning enabled by new movie contracts will allow studios to create persuasive deepfakes of them that studios will be able to own and use “for the rest of eternity, in any project they want, with no consent and no compensation”.
So this technology isn’t just a better mousetrap: it’s more like steam or electricity. Given that, the key question for democracies is: how can we ensure AI is used for human flourishing rather than corporate gain? On this question, the news from history is not good. A recent seminal study by two eminent economists, Daron Acemoglu and Simon Johnson, of 1,000 years of technological progress shows that although some benefits have usually trickled down to the masses, the rewards have – with one exception – invariably gone to those who own and control the technology.
The “exception” was a period in which democracies fostered countervailing powers – civil-society organisations, free media, activists, trade unions and other progressive, technically informed institutions that supplied a steady flow of ideas about how technology could be repurposed for social good rather than exclusively for private profit. This is the lesson from history that societies confronted by the AI challenge need to relearn.
There are some signs that the penny may finally have dropped. The EU, for example, has an ambitious and far-reaching AI Act that is making its way through the union’s processes. In the US, the National Institute of Standards and Technology has published an impressive framework for managing the risks of the technology. And the Biden administration recently published a “Blueprint for an AI Bill of Rights”, which looks impressive but is essentially just a list of aspirations that some of the big tech companies claim to share.
It’s a start – provided governments don’t forget that leaving the implementation of powerful new technologies solely to corporations is always a bad idea.","This is the lesson from history that societies confronted by the AI challenge need to relearn. It is also transformational in innumerable ways: it undermines centuries-old conceptions of intellectual property, for example, and it has the potential radically to increase productivity, reshape industries, change the nature of some kinds of work and so on. And the Biden administration recently published a “Blueprint for an AI Bill of Rights”, which looks impressive but is essentially just a list of aspirations that some of the big tech companies claim to share. The continuing dispute between the Hollywood studios and screenwriters’ and actors’ unions perfectly exemplifies the extent of the challenges posed by AI. In the US, the National Institute of Standards and Technology has published an impressive framework for managing the risks of the technology.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/Why-Hollywood-Strikes-Reveal-Our-Distrust-in-Corporations-Handling-of-AI-1024x536.png,2023-07-24
5,Revitalizing Deep Learning with CPUs: A Revolution in Progress,https://ainewstoday.co.uk/2023/07/24/revitalizing-deep-learning-with-cpus-a-revolution-in-progress/,"Neural Magic, a company specializing in deep learning model optimization and inference on CPUs, is revolutionizing the field with its innovative approach called compound sparsity. To shed light on this groundbreaking concept, AI News spoke with Damian Bogunowicz, a machine learning engineer at Neural Magic.
Compound sparsity combines techniques such as unstructured pruning, quantization, and distillation to significantly reduce the size of neural networks while maintaining their accuracy. By developing their own sparsity-aware runtime that leverages CPU architecture, Neural Magic challenges the notion that GPUs are necessary for efficient deep learning.
Bogunowicz emphasized the benefits of this approach, highlighting that more compact models lead to faster deployments and can be run on ubiquitous CPU-based machines. This eliminates the need for expensive specialized hardware like GPUs and enables machine learning practitioners to overcome limitations and reduce costs.
When asked about the suitability of sparse neural networks for enterprises, Bogunowicz explained that the majority of companies can benefit from using sparse models. By removing up to 90 percent of parameters without impacting accuracy, enterprises can achieve more efficient deployments. Although extremely critical domains like autonomous driving or autonomous aeroplanes may require maximum accuracy and minimal sparsity, the advantages of sparse models outweigh the limitations for most businesses.
Looking ahead, Bogunowicz expressed excitement about the future of large language models (LLMs) and their applications. As an example, he mentioned a chatbot used by Khan Academy—an AI tutor that guides students to solve problems by providing hints. This demonstrates the value that LLMs can bring to the education sector, facilitating the learning process while empowering students to develop problem-solving skills.
Neural Magic’s research has shown that LLMs can be efficiently optimized for CPU deployment. They have published a research paper on SparseGPT, demonstrating the removal of around 100 billion parameters using one-shot pruning without compromising model quality. This suggests that GPU clusters may not be necessary for AI inference in the future.
Neural Magic aims to provide open-source LLMs to the community, empowering enterprises to have control over their products and models, rather than relying on big tech companies.
Exciting developments from Neural Magic will be shared at the upcoming AI & Big Data Expo Europe. They will showcase their support for running AI models on edge devices, expanding the possibilities for AI applications in various industries. Additionally, they will unveil their model optimization platform, Sparsify, which enables the seamless application of state-of-the-art pruning, quantization, and distillation algorithms through a user-friendly web app and simple API calls. Sparsify aims to accelerate inference without sacrificing accuracy, providing enterprises with an elegant and intuitive solution.
Neural Magic’s commitment to democratizing machine learning infrastructure by leveraging CPUs is impressive. Their focus on compound sparsity and their upcoming advancements in edge computing demonstrate their dedication to empowering businesses and researchers alike.
As we eagerly await the developments presented at AI & Big Data Expo Europe, it is clear that Neural Magic is poised to make a significant impact in the field of deep learning. To learn more, you can watch the full interview with Damian Bogunowicz below.
(Photo by Google DeepMind on Unsplash)
Neural Magic is a key sponsor of this year’s AI & Big Data Expo Europe, held in Amsterdam between 26-27 September 2023. Visit Neural Magic’s booth at stand #178 to learn more about how the company enables organizations to use compute-heavy models in a cost-efficient and scalable way.","Visit Neural Magic’s booth at stand #178 to learn more about how the company enables organizations to use compute-heavy models in a cost-efficient and scalable way. Bogunowicz emphasized the benefits of this approach, highlighting that more compact models lead to faster deployments and can be run on ubiquitous CPU-based machines. This demonstrates the value that LLMs can bring to the education sector, facilitating the learning process while empowering students to develop problem-solving skills. Neural Magic aims to provide open-source LLMs to the community, empowering enterprises to have control over their products and models, rather than relying on big tech companies. As we eagerly await the developments presented at AI & Big Data Expo Europe, it is clear that Neural Magic is poised to make a significant impact in the field of deep learning.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/Revitalizing-Deep-Learning-with-CPUs-A-Revolution-in-Progress-1024x536.png,2023-07-24
6,"Artificial Intelligence Stocks Experience Soaring Performance, Igniting Optimism in Tech Sector",https://ainewstoday.co.uk/2023/07/24/artificial-intelligence-stocks-experience-soaring-performance-igniting-optimism-in-tech-sector/,"US tech companies were facing a challenging start to the year, grappling with the aftermath of pandemic-induced hiring and fears over rising interest rates. However, a surge in artificial intelligence (AI) breakthroughs has breathed new life into the sector, bolstering tech stocks and the S&P 500 index. With the promise of a new era of growth, investors have seen significant returns, with the S&P 500 up 18.6% and the tech-heavy Nasdaq composite up 35.7% so far in 2023.
Over the next two weeks, five of the biggest beneficiaries of the tech resurgence – Meta, Alphabet, Apple, Amazon, and Microsoft – are set to report quarterly results. While each company has individual factors impacting their recent stock performances, the overarching AI frenzy has provided a lift to the sector. Chipmaker Nvidia, for example, has become a $1tn company based on demand for its products for AI processing.
Dan Ives, managing director at Wedbush Securities, describes big tech as a “torchbearer” for the stock boom surrounding AI. He predicts that AI spending may reach up to $800bn (£625bn) over the next decade. Ives notes that cloud computing services provided by Microsoft, Amazon, and Alphabet have been particularly beneficial, as they are essential for training and operating generative AI models.
Some investment professionals, including Hyun Ho Sohn, portfolio manager of Fidelity’s global technology fund, warn that the tech sector’s reliance on generative AI has made the market thematically driven and narrow. Recent poor investor reactions to Tesla and Netflix results have demonstrated the fragility of the market. Sohn advises caution and suggests that investors should remain realistic about the current state of the AI-driven tech sector.
James Knightley, chief international economist at ING, points out the tough macroeconomic conditions for US stocks, including slowing retail sales and contracting industrial production. Despite the rally in stocks driven by AI and tech advances, Knightley believes that recession risks are still present and the companies driving these advances will reap the most rewards. Apple, for instance, is forecasted to experience a decline in revenue, and Meta’s reliance on advertising revenue makes it susceptible to macroeconomic conditions.
Tony Sycamore, analyst at IG, highlights the positive impact of Meta’s AI initiatives and cost-cutting measures on its share price. However, he warns that high expectations coupled with a 136% rise in share price may already be priced in. Despite potential risks and uncertainties, AI continues to generate confidence and provide convincing answers to concerns within the tech industry.","Some investment professionals, including Hyun Ho Sohn, portfolio manager of Fidelity’s global technology fund, warn that the tech sector’s reliance on generative AI has made the market thematically driven and narrow. However, a surge in artificial intelligence (AI) breakthroughs has breathed new life into the sector, bolstering tech stocks and the S&P 500 index. Sohn advises caution and suggests that investors should remain realistic about the current state of the AI-driven tech sector. Over the next two weeks, five of the biggest beneficiaries of the tech resurgence – Meta, Alphabet, Apple, Amazon, and Microsoft – are set to report quarterly results. Despite the rally in stocks driven by AI and tech advances, Knightley believes that recession risks are still present and the companies driving these advances will reap the most rewards.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/Artificial-Intelligence-Stocks-Experience-Soaring-Performance-1024x536.png,2023-07-24
7,Google Health Officer Urges Caution About AI’s Limits as “Dr. Google” Emerges,https://ainewstoday.co.uk/2023/07/24/google-health-officer-urges-caution-about-ais-limits-as-dr-google-emerges/,"Google’s chief health officer, Dr Karen DeSalvo, has expressed both excitement and caution regarding the role of artificial intelligence (AI) in healthcare. In an interview with Guardian Australia, she discussed the potential of AI to improve access to quality healthcare services, while also emphasizing the need for constraints, factual information, and ethical considerations.
Dr DeSalvo believes that AI will serve as a valuable tool for doctors, helping to address workforce shortages and enhance the quality of care. She highlighted the concept of AI as a “tool in the toolbox” and emphasized that it should not replace human doctors. While AI, particularly large-language models (LLMs), can provide quick and accurate answers to medical questions, it should never replace the critical thinking and personalized care that doctors bring to the table.
Last week, Google published a research study in Nature, examining how LLMs can answer medical questions. The study included Google’s own Med-PaLM LLM, which was fed commonly searched medical questions. The study found that the Med-PaLM system generated answers on par with clinicians 92.9% of the time. However, there were concerns about potentially harmful outcomes, as some answers had the potential to mislead. Further evaluation and refinement of the models are necessary.
Dr DeSalvo referred to LLMs as the “best intern for a doctor,” providing access to vast amounts of medical knowledge. She acknowledged the potential of LLMs to help people globally, but also expressed concerns about misdiagnosis and the potential for “AI hallucinations.” To overcome these challenges, she stressed the importance of tuning and constraining the models to ensure factual information and avoid misrepresentation.
Google’s ultimate aim with AI in healthcare is to address the information imbalance between the medical industry and the public. Dr DeSalvo emphasized the importance of empowering patients with knowledge and agency. By providing accurate and accessible information, patients can become active participants in their healthcare journey. Dr DeSalvo recalled her own experiences as a doctor, expressing appreciation for patients who came prepared with factual information, as it facilitated meaningful conversations and optimal care.
As AI continues to evolve in healthcare, the potential benefits are vast. Dr Karen DeSalvo’s cautious optimism highlights the need for ethical considerations, factual accuracy, and the irreplaceable role of human doctors. With proper constraints and continued refinement, AI has the potential to revolutionize healthcare, putting knowledge and agency into the hands of patients while supporting doctors in providing the best possible care.","She highlighted the concept of AI as a “tool in the toolbox” and emphasized that it should not replace human doctors. In an interview with Guardian Australia, she discussed the potential of AI to improve access to quality healthcare services, while also emphasizing the need for constraints, factual information, and ethical considerations. Google’s ultimate aim with AI in healthcare is to address the information imbalance between the medical industry and the public. She acknowledged the potential of LLMs to help people globally, but also expressed concerns about misdiagnosis and the potential for “AI hallucinations.” To overcome these challenges, she stressed the importance of tuning and constraining the models to ensure factual information and avoid misrepresentation. With proper constraints and continued refinement, AI has the potential to revolutionize healthcare, putting knowledge and agency into the hands of patients while supporting doctors in providing the best possible care.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/dr-google-1024x536.png,2023-07-24
8,OpenAI Introduces New Bug Bounty Program,https://ainewstoday.co.uk/2023/07/24/openai-introduces-new-bug-bounty-program/,"In its ongoing effort to create safe and secure AI systems, OpenAI has called upon the global security research community, ethical hackers, and technology enthusiasts to assist in identifying and addressing vulnerabilities in its AI systems. OpenAI, the research organization backed by renowned entrepreneur Elon Musk and other investors, believes that transparency and collaboration are vital in addressing risks associated with AI technology.
The company is well aware that despite significant investment in research and engineering, vulnerabilities and flaws can still arise. OpenAI acknowledges the complex nature of AI systems and the inherent risks associated with them. By extending an invitation to security researchers and enthusiasts, OpenAI hopes to harness their expertise and vigilance to ensure the safety and security of its systems and users.
OpenAI has always prioritized transparency and collaboration, understanding that they are key components in building secure and robust AI systems. The company has a strong track record of encouraging the responsible disclosure of vulnerabilities through its coordinated disclosure commitments.
Now, OpenAI is taking its commitment even further by not only inviting researchers to identify vulnerabilities but also offering incentives for qualifying vulnerability information. This move highlights OpenAI’s recognition of the immense value that researchers and ethical hackers bring to the table in strengthening AI systems.
The global community of security researchers, ethical hackers, and technology enthusiasts plays a pivotal role in OpenAI’s efforts to maintain the security of its AI systems. Their expertise and vigilance serve as a critical line of defense against potential risks and vulnerabilities.
By actively cooperating with the broader community, OpenAI aims to foster a collective responsibility in addressing the challenges posed by AI technology. This collaborative approach strengthens OpenAI’s mission to create AI systems that benefit everyone and ensures that the systems are robust and secure.
OpenAI’s invitation is testament to its commitment to ensure the safety and security of its AI systems. It not only recognizes the potential vulnerabilities but actively seeks input from the community to address them. As AI technology continues to advance, OpenAI’s proactive approach sets a positive example for other organizations in the field, emphasizing the importance of transparency, collaboration, and shared responsibility for the well-being of AI systems and users.","This move highlights OpenAI’s recognition of the immense value that researchers and ethical hackers bring to the table in strengthening AI systems. As AI technology continues to advance, OpenAI’s proactive approach sets a positive example for other organizations in the field, emphasizing the importance of transparency, collaboration, and shared responsibility for the well-being of AI systems and users. By extending an invitation to security researchers and enthusiasts, OpenAI hopes to harness their expertise and vigilance to ensure the safety and security of its systems and users. The global community of security researchers, ethical hackers, and technology enthusiasts plays a pivotal role in OpenAI’s efforts to maintain the security of its AI systems. In its ongoing effort to create safe and secure AI systems, OpenAI has called upon the global security research community, ethical hackers, and technology enthusiasts to assist in identifying and addressing vulnerabilities in its AI systems.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/OpenAI-Introduces-New-Bug-Bounty-Program-1024x536.png,2023-07-24
9,Desire Grows for Ukraine’s Battlefield Data,https://ainewstoday.co.uk/2023/07/24/desire-grows-for-ukraines-battlefield-data/,"In recent months, Ukraine has been vocal about its plans to leverage its battlefield innovations to develop a military-tech industry of its own. The goal is to protect the country from future Russian aggression and capitalize on their understanding of the dynamics of the battlefield.
Nataliia Kushnerska, project lead for Brave1, a Ukrainian state platform facilitating defense-tech companies to pitch their products to the military, expressed Ukraine’s desire to build a robust defense tech industry. While the country is still open to partnering with international companies, there is a growing emphasis on developing homegrown solutions.
Kushnerska believes that technologies produced in overseas laboratories often fail when deployed on the front line. By developing their own defense technology industry, Ukraine aims to offer solutions that no one else has.
Ukraine is taking several measures to stimulate the growth of a homegrown defense tech industry. Secret tech conferences, attended by Ukrainian tech executives and Ministry of Defense officials, provide a platform for discussions on military needs and how companies can assist.
Moreover, the Ukrainian parliament recently passed legislation granting tax breaks to drone makers, encouraging the development of the industry. These government efforts, combined with the immense demand for drones amidst the ongoing conflict, have led to the emergence of new industries. According to Bornyakov, Ukraine now boasts over 300 drone manufacturing companies.
One of the companies benefitting from Ukraine’s push for a domestic defense tech industry is AeroDrone. Originally a crop-spraying business based in Germany, the company shifted its focus when the war broke out. Now, their drones, capable of carrying heavy loads up to 300 kilograms, are being utilized by the Ukrainian military.
Dmytro Shymkiv, a partner at AeroDrone and former deputy chief of staff for former Ukrainian President Petro Poroshenko, noted that while they may be unaware of the military’s cargo, the company collects extensive data on each flight. With up to 3,000 parameters recorded, information on flying during jamming or varying weather conditions can be repurposed for other industries or future conflicts.
AeroDrone exemplifies the potential of the defense tech industry Ukraine seeks to foster. With vast amounts of data at its disposal, the company envisions numerous possibilities for its future, both in military and civilian applications. Shymkiv suggests that if they can operate in a war zone, they can operate anywhere.
As Ukraine continues to develop its homegrown defense tech industry, it aims to not only bolster its own defense capabilities but also consolidate its position as a key player in the global military innovation market.","One of the companies benefitting from Ukraine’s push for a domestic defense tech industry is AeroDrone. Nataliia Kushnerska, project lead for Brave1, a Ukrainian state platform facilitating defense-tech companies to pitch their products to the military, expressed Ukraine’s desire to build a robust defense tech industry. Ukraine is taking several measures to stimulate the growth of a homegrown defense tech industry. The goal is to protect the country from future Russian aggression and capitalize on their understanding of the dynamics of the battlefield. AeroDrone exemplifies the potential of the defense tech industry Ukraine seeks to foster.",https://ainewstoday.co.uk/wp-content/uploads/2023/07/Desire-Grows-for-Ukraines-Battlefield-Data-1024x536.png,2023-07-24
